id_pili,hydrant_id_uuid,station_id_uuid,station_id,station_code,zon,no_pili,pili_num_combine,alamat,penanda_kawasan,no_premis,id_kedudukan,kedudukan,poskod,lokasi,latitud,longitud,id_negeri,state_id_uuid,negeri,id_daerah,daerah,id_pemilikan_pili,pemilikan_pili,id_status_pili,status_pili,diameter_pengeluaran,image_1,id_jenis_pili,jenis_pili,id_parlimen,parlimen,tarikh_pili,id_syarikat_air,flag_migrasi,id_bandar,bandar,city_id_uuid,latitud_original,longitud_original,no_pili_asal
1151,4e93def0-0205-4699-8929-484e34e583de,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,151,PJY-A-151,Belakang Blok E12 padang Parcel E Precint 1,Belakang Blok E12 padang,,2,Belakang,,Putrajaya,2.94173,101.70799,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94173,E 101.70799,151
1152,a0796266-4170-449a-b5bf-24bcfdd95295,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,152,PJY-A-152,Tepi Blok E8 Dengan E9 Parcel E Precint 1,Tepi Blok E8 Dengan E9,,4,Tepi,,Putrajaya,2.94265,101.70857,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94265,E 101.70857,152
1153,9c03072b-8f43-4854-a3ef-c5c6f8be9632,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,153,PJY-A-153,Belakang Blok E14 Parcel E Precint 1,Belakang Blok E14 Parcel E,,2,Belakang,,Putrajaya,2.94026,101.70687,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94026,E 101.70687,153
1154,cb0e31ea-3038-4bff-a437-4033b27e59e5,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,154,PJY-A-154,Belakang Blok E14 Parking Parcel E Precint 1,Belakang Blok E14 Parking,,2,Belakang,,Putrajaya,2.94049,101.70735,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94049,E 101.70735,154
1155,61d1ef4b-d05d-47be-96fc-178d3e8c79e9,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,155,PJY-A-155,Belakang Blok E15 Parcel E Precint 1,Belakang Blok E15Parcel E,,2,Belakang,,Putrajaya,2.94049,101.70808,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,images/img_pili/20201201082537696.jpg,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94049,E 101.70808,155
1156,8715e4ce-58fe-4b9b-bf11-b2978dccbbd2,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,156,PJY-A-156,Belakang E15 Pusat Pengumpulan Sampah Parcel E Precint 1,Belakang E15 Pusat Pengumpulan Sampah,,2,Belakang,,Putrajaya,2.94043,101.70856,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94043,E 101.70856,156
1157,565b9ada-beef-4db7-84a6-4965fccfd508,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,157,PJY-A-157,Berhadapan Bangunan Pentadbiran Sekolah Alam Shah Precint 1,Berhadapan Bangunan Pentadbiran ,,1,Hadapan,,Putrajaya,2.94609,101.71233,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94609,E 101.71233,157
1158,d8dda457-9356-43bb-adcd-46f8f56fd1e3,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,158,PJY-A-158,Kawasan Parking Asrama Sekolah Alam Shah Precint 1,Kawasan Parking Asrama,,3,Berhampiran,,Putrajaya,2.94775,101.71231,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94775,E 101.71231,158
1159,bc47c89f-b9c7-4101-a12e-e9c3e6550627,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,159,PJY-A-159,Berhadapan Asrama Arif Sekolah Alam Shah Precint 1,Berhadapan Asrama Arif,,1,Hadapan,,Putrajaya,2.94738,101.71154,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94738,E 101.71154,159
1160,3c0f3c32-4a2b-4387-845c-3da747c4b14b,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,160,PJY-A-160,	 Berhadapan Surau Sekolah Alam Shah Precint 1,Berhadapan Surau,,1,Hadapan,,Putrajaya,2.94742,101.71114,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94742,E 101.71114,160
