id_pili,hydrant_id_uuid,station_id_uuid,station_id,station_code,zon,no_pili,pili_num_combine,alamat,penanda_kawasan,id_kedudukan,kedudukan,lokasi,latitud,longitud,id_negeri,state_id_uuid,negeri,id_daerah,daerah,id_pemilikan_pili,pemilikan_pili,id_status_pili,status_pili,diameter_pengeluaran,id_jenis_pili,jenis_pili,id_parlimen,parlimen,tarikh_pili,id_syarikat_air,flag_migrasi,id_bandar,bandar,city_id_uuid,latitud_original,longitud_original,no_pili_asal
1763,f71c4f2c-af21-43e8-9d0c-8889ada29526,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,145,PJY-I-145,JALAN P9A PRESINT 9(TEPI POKOK),,1,Hadapan,Putrajaya,2.9365,101.67432,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.936500,E 101.674320,145
1764,cd3f27a6-86d0-4304-9ce2-4e37ab852d2f,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,146,PJY-I-146,"SRK 9(2),Presint 9",Berhampiran Pondok Pengawal,3,Berhampiran,Putrajaya,2.973012,101.674607,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.973110,E 101.674620,146
1765,e835ff66-9e4a-4d57-8f87-c414cfc5c062,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,147,PJY-I-147,"SRK 9(2),Presint 9",Berhampiran Switch Utama TNB,3,Berhampiran,Putrajaya,2.93664,101.67407,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.936640,E 101.674070,147
1766,3821da6a-bacc-485e-a5de-3a79f6e531ea,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,148,PJY-I-148,"SRK 9(2),Presint 9",Berhampiran Kantin,3,Berhampiran,Putrajaya,2.93707,101.67378,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N  02.937070,E 101.673780,148
1767,bde222a1-0c3e-4d90-b9b9-40d728cdbfbe,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,149,PJY-I-149,"SRK 9(2),Presint 9",Berhampiran Parkir Basikal,3,Berhampiran,Putrajaya,2.93776,101.67413,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.937760,E 101.674130,149
1768,b7ee3a69-c40b-4e15-9039-56162a222cdb,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,150,PJY-I-150,"SRK 9(2),Presint 9",Berhampiran Parkir ,3,Berhampiran,Putrajaya,2.93755,101.67461,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.937550,E 101.674610,150
1769,47251731-e9ee-4066-a778-f2fc66ea620e,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,151,PJY-I-151,"Stesyen Minyak Petronas 9D,Presint 9",,3,Berhampiran,Putrajaya,2.94057,101.67343,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.940570,E 101.673430,151
1770,93f67cf3-54d7-46b0-be5c-32ee35956983,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,152,PJY-I-152,"Jalan Masuk Rumah Kedai Komplek Kejiranan, Presint 9",Jalan Masuk,3,Berhampiran,Putrajaya,2.94115,101.67546,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.941150,E 101.675460,152
1771,9d7fa490-7ac7-4037-9786-256b73ae657b,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,153,PJY-I-153,"Jalan Masuk Rumah Kedai Komplek Kejiranan, Presint 9",Jalan Masuk,3,Berhampiran,Putrajaya,2.9406,101.67503,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.940600,E 101.675030,153
1772,2069ef7e-4444-4c43-9981-3f88adaf784d,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,154,PJY-I-154,"Bahagian Hadapan Kedai, Rumah Kedai Komplek Kejiranan Presint 9",Bahagian Hadapan Kedai,1,Hadapan,Putrajaya,2.94102,101.67487,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.941020,E 101.674870,154
