no_pili,latitude,longitude
PJY-A-124,2.94343,101.70745
PJY-A-125,2.94282,101.70747
PJY-A-126,2.94307,101.70796
PJY-A-127,2.94379,101.70797
PJY-A-128,2.94348,101.70843
PJY-A-129,2.94334,101.70888
PJY-A-130,2.94335,101.70959
PJY-A-131,2.94288,101.70963
PJY-A-132,2.9428,101.70872
PJY-A-133,2.94289,101.70967
PJY-A-134,2.94225,101.70937
PJY-A-135,2.94169,101.70913
PJY-A-136,2.94107,101.70858
PJY-A-137,2.94135,101.70834
PJY-A-138,2.94094,101.70795
PJY-A-139,2.9413,101.70754
PJY-A-140,2.941,101.70701
PJY-A-141,2.94174,101.70673
PJY-A-142,2.94232,101.70684
PJY-A-143,2.94093,101.70659
PJY-A-144,2.94203,101.70589
PJY-A-145,2.94244,101.70632
PJY-A-146,2.94276,101.7074
PJY-A-147,2.94224,101.70747
PJY-A-148,2.94251,101.7076
PJY-A-149,2.94168,101.7075
PJY-A-150,2.94188,101.70673
PJY-A-151,2.94173,101.70799
PJY-A-152,2.94265,101.70857
PJY-A-153,2.94026,101.70687
PJY-A-154,2.94049,101.70735
PJY-A-155,2.94049,101.70808
PJY-A-156,2.94043,101.70856
PJY-A-157,2.94609,101.71233
PJY-A-158,2.94775,101.71231
PJY-A-159,2.94738,101.71154
PJY-A-160,2.94742,101.71114
PJY-A-161,2.94794,101.71143000000001
PJY-A-162,2.94824,101.71095
PJY-A-163,2.94836,101.71012
PJY-A-164,2.94757,101.7102
PJY-A-165,2.94687,101.71078
PJY-A-166,2.94588,101.71109
PJY-A-167,2.94534,101.71161
PJY-A-168,2.94528,101.7123
PJY-A-169,2.94506,101.71286
PJY-A-170,2.94592,101.71284
PJY-A-171,2.94723,101.71288
PJY-A-172,2.943,101.69292
PJY-A-173,2.933146,101.6903
PJY-A-174,2.932662,101.690159
PJY-A-175,2.932235,101.69001
PJY-A-176,2.93836,101.70942
PJY-A-177,2.93848,101.70992
PJY-A-178,2.93883,101.71049
PJY-A-179,2.93964,101.71021
PJY-A-180,2.93985,101.70977
PJY-A-181,2.93959,101.70885
PJY-A-182,2.93821,101.71067
PJY-A-183,2.93777,101.71162
PJY-A-184,2.93778,101.71209
PJY-A-185,2.93854,101.71258
PJY-A-186,2.93993,101.71215
PJY-A-187,2.94015,101.71192
PJY-A-188,2.94114,101.71193
PJY-A-189,2.9416,101.71129
PJY-A-190,2.94118,101.71077
PJY-A-191,2.94037,101.71014
PJY-A-192,2.94571,101.71052
PJY-A-193,2.94545,101.71071
